sentence,threat
application identity manager aim integration technical documentation name of company workfusion website http wwwworkfusioncom name of product intelligent automation smart process automation spa chatbot smartcrowd version intelligent automation sunbird release date june workfusion solution overview smart process automation spa part of workfusion s intelligent automation product empower enterprise operation to digitize ,1
smart process automation spa combine robotic process automation rpa ai powered cognitive automation and workforce analytic to automate high volume business process ,1
our late release intelligent automation sunbird release support cloud on premise and hybrid deployment type  support operation system ,0
or rhel ,0
cento x or,0
rhel x key benefit workfusion intelligent automation product solve common enterprise automation challenge allow enterprise to automate large reliable but inflexible fragile core application tackle unstructured datum that raise the need for manual work scale back the need for email chat and phone interaction while increase quality of service optimize and increase people s capacity to do high value work key feature business process design and management ,1
with drag and drop simplicity business people can configure complex end to end process use a library of pre build machine task and customizable worker interface template ,0
robotic automation ,1
robotic process automation rpa enable rule base automation which eliminate the manual work of operate the user interface of enterprise application like sap and oracle and move structured datum from one system to another ,1
datum source and digitization ,0
the software have build in optical character recognition ocr and scrape technology to turn pdfs document email message image and web content into machine readable datum ,0
cognitive automation ,0
workfusion s machine learn train on historical datum and real time human work to automate more subjective work like categorize and extract unstructured information ,0
workforce management ,0
task within business process be automatically route to the right human or bot each action be quality control to ensure accuracy and workload be balanced to ensure optimal capacity utilization ,1
business activity monitor bam ,0
the software deliver real time granular analytic on automation progress and coverage as well as workforce performance at an individual and team level ,0
operational benefit improve service delivery by increase customization shortening cycle and concept to marketing time and attack backlog of unsolved application issue ,0
reduce cost per transaction by increase throughput while decrease manual effort ,0
increase responsiveness to change through digitize work distribution workload balancing and process adaptability and flexibility ,0
integration with aim be target to enable workfusion customer with the option to store and manage the sensitive information credential in a secure fashion comply with enterprise information security standard ,0
two main type of credential to be store in cyberark ,0
robot username and password workfusion s platform robotic process automation rpa capability be use to automate the operation work in numerous customer legacy and rd party application ,1
the account credential for robot to use will be store and manage in cyberark and workfusion will integrate with it seamlessly  ,1
workfusion platform functional credential ,0
it include database and other functional component ,0
product diagram description of product integration workfusion integrate with cyberark deployment on customer side through cyberark pas web api location of integration end point or mid tier or central server ,0
the setup may differ per customer ,0
default approach would be end point ,0
every workfusion installation on customer side will be integrate with cyberark ,0
typically customer would have a separate workfusion installation per line of business and or per geographical location ,0
the cyberark rest api be utilize for credential retrieval ,0
detailed description be in workfusion installation integration configuration section ,0
two scenario when credential retrieval be trigger schedule automation process robot will request credential from the vault for perform the plan action o platform start up credential retrieval frequency o retrieve robot username and password every time robot need to access customer s as a rule legacy or rd party application a call to the cyberark vault be make to get the credential to perform the plan action ,1
volume may differ per use case and vary from about to several million transaction a week ,0
o retrieve workfusion platform functional credential retrieval be perform during workfusion platform start up ,0
aim installation refer to credential credential provider implementation guide for cyberark credential provider installation ,0
aim configuration define the application i d appid and authentication detail to define the application here be the instruction to define it manually via cyberark s pvwa password vault web access interface ,1
log in as user allow to manage application it require manage user authorization in the application tab click add application the add application page appear ,1
replace this screenshot with datum fill in ie  with the pre define appid the customer should use specify in the name field ,0
specify the follow information in the name edit box workfusion in the description specify a short description of the application that will help you identify it ,0
in the business owner section specify contact information about the application s business owner ,1
in the low section specify the location of the application in the vault hierarchy ,0
if a location be not select the application will be add in the same location as the user who be create this application ,1
click add the application be add and be display in the application detail page ,0
allow extended authentication restriction ,0
this enable you to specify an unlimited number of machine and window domain os user for a single application ,1
please check this box  workfusion application use certificate serial number authentication ,0
provision account and set permission for application access for the application to perform its functionality or task the application must have access to particular exist account or new account to be provision in cyberark vault step ,1
once the account be manage by cyberark make sure to setup the access to both the application and cyberark application password provider serve the application step ,1
in the password safe provision the privileged account that will be require by the application ,1
you can do this in either of the follow way manually add account manually one at a time and specify all the account detail  automatically add multiple account automatically use the password upload feature ,1
for this step you require the add account authorization in the password safe ,1
for more information about add and manage privileged account refer to the privileged account security implementation guide  ,1
add the credential provider and application user as member of the password safe where the application password be store ,1
this can either be do manually in the safe tab or by specify the safe name in the csv file for add multiple application ,0
add the provider user as a safe member with the follow authorization list account retrieve account view safe member note when instal multiple provider for this integration it be recommend to create a group for they and add the group to the safe once with the above authorization  add the application the appid as a safe member with the follow authorization retrieve account if your environment be configure for dual control in pim psm environment v  and low if the safe be configure to require confirmation from authorized user before password can be retrieve give the provider user and the application the follow permission o access safe without confirmation in privileged account security solution v  and high when work with dual control the provider user can always access without confirmation thus it be not necessary to set this permission ,1
if the safe be configure for object level access make sure that both the provider user and the application have access to the password s to retrieve ,1
for more information about configure safe member refer to the privileged account security implementation guide ,1
workfusion installation integration configuration refer to workfusion ,0
installation guide pdf for partner product installation  list specific step to configure partner product to work with aim include install cyberark application a cyberark epv with pvwa rest api license b cyberark privateark client c cyberark central credential provider v  or above ,0
setup certificate base authentication mtls for iis server  ,0
connect to the server where cyberark pvwa be instal ,0
note this server have to have makecertexe  guide for instal makecertexe if you use window server r you can download and install window software development kit sdk for window  ,0
try this link window ,0
you should install these component only window software development kit net framework  ,0
software development kit ,0
result makecertexe will be instal into c program file x window kit ,0
create certificate use makecertexe  ,0
create certificate authority can   ,0
create document by notepad and paste the following into it where po changeit the password for the pfx,1
file normaldotm c program file x window kit ,0
bin x makecertexe n cn caroot r pe a sha len cy authority,0
sv carootpvk carootcer c program file x window kit ,0
bin x pvk pfxexe pvk carootpvk spc carootcer pfx carootpfx po changeit   ,0
save the document eg  createcarootcmd in your folder eg  c certificate    ,0
open command prompt go to your folder c certificate run createcarootcmd    ,0
it should now prompt you to enter some password ,1
this be where we create and use the pvk private key so these need to match for success ,0
note you should now have file carootcer carootpfx and carootpvk in the folder where your batch file be    ,0
make carootcer trust     ,0
open your new carootcer file by double click it and see that isn t trust    ,0
to make it trust on your machine open up the microsoft management console find it by search for mmc in start  ,1
go to the file add remove snap in    ,0
double click certificate in the list to the left  ,0
choose computer account and just go next finish and ok     ,1
open the trust root certification authority certificate ,0
here you can see all of the currently trust certificate that window trust     ,0
right click the certificate folder all task import    ,0
the certificate import wizard will pop up ,0
go next browse to find the carootcer file what we create early ,0
keep go next until finish where a message box should appear say the import be successful ,0
your caroot certificate should now be in you trust root certification authority store         ,0
open the caroot double click and see that it be now trust by your computer   ,0
create server certificate    ,0
we need a certificate to handle ssl on the server ,0
we will create this with a new command batch file in notepad just like before this time with these parameter c program file x window kit ,0
bin x makecertexe n,0
cn cbrk apiworkfusioncom iv carootpvk ic carootcer pe a sha len b e sky exchange eku       ,0
sv pvk cer c program file x window kit ,0
bin x pvk pfxexe pvk pvk spc cer pfx pfx,0
po changeit note the cn must match your domain otherwise the browser win t trust your ssl certificate and warn the end user not to proceed to your website    ,1
save the document eg  createsslservercertcmd which will create a command batch file in your folder eg  c certificate    ,0
open command prompt go to your folder eg  c certificate run createsslservercertcmd serverssl   ,0
again it will ask you to create your private key password use it to verify also give the issuer password which be the one you choose when create your root ca and lastly the private key password you choose in the first window    ,1
you should now have new file serversslcer serversslpfx and serversslpvk in the folder where your batch file be    ,0
import the personal information exchange pfx certificate into your personal certificate in the microsoft management console     ,0
open up the microsoft management console ,0
find it by search for mmc in start    ,1
open the personal folder right click certificate import    ,0
again the certificate import wizard pop up go next ,0
this time you will browse for the serversslpfx file        ,0
go next type in the password for your pfx file the po parameter from the batch file continue go next until finish and the message box with the import be successful appear ,1
you should now see you newly import certificate in your personal certificate folder ,0
it be trust automatically because your caroot that sign it be trust and have a private key corresponding to this certificate   ,0
create client certificate    ,0
we will create this with a new command batch file in notepad just like before this time with these parameter c program file x window kit ,0
bin x makecertexe n cn iv carootpvk ic carootcer pe a sha len b e sky exchange eku       ,0
sv pvk cer c program file x window kit ,0
bin x pvk pfxexe pvk pvk spc cer pfx pfx,0
po changeit note need to change param to valid your param    ,0
save the document eg  createsslclientcertcmd what will create a command batch file in your folder eg  c certificate    ,0
open command prompt go to your folder eg  c certificate run createsslclientcertcmd clientcert   ,0
enter the password in the same pattern as the server certificate and you now have your client certificate    ,1
you should now have new file clientcertcer clientcertpfx and clientcertpvk in the folder where your batch file be ,0
click file add remove snap in   ,0
add it to your current user personal certificate store    ,1
open up the microsoft management console ,0
find it by search for mmc in start   ,1
double click certificate again,0
but this time choose my user account and finish     ,1
open the personal folder right click certificate import    ,0
browse for your clientcertpfx file    ,0
go next type in the password to your pfx file po parameter from the batch file continue go next until finish and the import be successful message box appear ,1
you should now see you newly import certificate in your personal certificate folder ,0
again the certificate be trust because the caroot be trust by window    ,0
configure iis to use your certificate with your application include iis client certificate mapping authentication   ,0
open the iis manager find it by search for iis in start in the iis manager go to your server the top of the tree to the left scroll down and double click server certificate   ,1
click import  ,0
click the and find your serversslpfx file fill out the password the po parameter in your command batch file and click ok  ,1
double click the newly add cert to verify that it be trust  ,0
go to your server the top of the tree to the left site default web site binding  on right column action   ,0
add edit https bind ,0
setup ip address port host name and select your serverssl certificate from dropdown ssl certificate ,0
close binding window ,0
iis client certificate mapping authentication for cyberark app passwordvault and aimwebservice   ,1
first we need to install the feature so bring up the turn window feature on or off again and install the following find it by search for turn window feature on or off in start   ,1
go to your server the top of the tree to the left site default web site passwordvault aimwebservice ssl setting   ,1
select require ssl and client certificate accept and click on the apply on right column action    ,0
go to your server the top of the tree to the left site default web site passwordvault aimwebservice configuration editor   ,1
hoose the iisclientcertificatemappingauthentication section you can also enter the path systemwebserver security authentication iisclientcertificatemappingauthentication into the section field   ,0
enable the client certificate mapping authentication   ,0
add a mapping click the of the manytoonemapping   ,0
add the user that you want to grant access ,1
click on the add and fill out the property for a mapping and repeat for each user you want to configure for access or denial ,1
remember that you need the client certificate and root can certificate instal on all the user s mmc  important in order for this to work you need to enter a valid username and password and since my computer be the server the credential will be my window username and password    ,1
create some rule to go with this mapping so the server can determine if a client be allow in or not ,0
it s a so click on the rule property and the button   ,0
add one rule as an example where the server will check the client certificate to see if it s sign by the correct can root ,0
go ahead and add more rule for more safety please visit the iis many to one mapping reference for more documentation ,0
example certificatefield issuer certificatesubfield cn comparecasesensitive true matchcriteria caroot  ,0
remember to apply the change in the iis manager so close the rule and mapping window and click apply  ,0
check open a new incognito browser window to make sure to start from a clean slate cache and cookie wise and enter your url with the api cat and see the browser prompt you for a certificate ,0
choose the clientcert and click ok to gain access to the cat ,0
if this be not work make sure that your client certificate be in your currentuser personal store as well as in your browser s certificate store ,1
if yes then go to control panel internet option content and click clear ssl state  ,0
configure passwordvault application for use mtls authentication   ,1
open the iis manager find it by search for iis in start  ,1
go to your server the top of the tree to the left site default web site passwordvault expand it webservice auth share select ssl setting select the follow require ssl and require for client certificate   ,1
click apply   ,0
run iisreset  ,0
configure aimwebservice application for use mtls authentication   ,0
open your iis manager find it by search for iis in start  ,1
go to your server the top of the tree to the left site default web site aimwebservice select ssl setting select the follow require ssl require for client certificate   ,0
click apply   ,0
run iisreset  ,0
create specific cyberark user for rest api ,1
need to create user for sharedlogon and for check permission on secure storage page  ,1
connect to the server where privateark application be instal  ,0
open the privateark application  ,0
click on the vault and logon to the server vault use administrator credential  ,0
go to the tool administrative tool user and group  ,1
